episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 10000,0, 9818, 182, 0, 0, 1.8238908286200464e-08, 3.521710629489018
 20000,0, 9860, 140, 0, 0, 4.329446056362308e-15, 3.4663705807859184
 30000,0, 9832, 168, 0, 0, 9.27994976373312e-22, 3.5048766924736743
 40000,0, 9836, 164, 0, 0, 1.8958429260768097e-28, 3.501340698374865
 50000,0, 9836, 164, 0, 0, 3.8886345164002744e-35, 3.5126348005909707
 60000,0, 9834, 166, 0, 0, 8.850771435540334e-42, 3.5191897359399182
 70000,0, 9853, 147, 0, 0, 1.9944355498082894e-48, 3.5161924225045422
 80000,0, 9834, 166, 0, 0, 5.5339768330644136e-55, 3.5085334448363086
 90000,0, 9830, 170, 0, 0, 1.2940562463971924e-61, 3.2949514833608986
 100000,0, 9836, 164, 0, 0, 2.8072467460101093e-68, 3.4502410631394422
 110000,0, 9839, 161, 0, 0, 7.197331182151607e-75, 3.487941572574809
 120000,0, 9862, 138, 0, 0, 2.009490087856949e-05, 3.493020610392235
 130000,0, 9838, 162, 0, 0, 4.7178022385231384e-12, 3.49832060976787
 140000,0, 9832, 168, 0, 0, 9.466190659896422e-19, 3.495176873024951
 150000,0, 9815, 185, 0, 0, 5.203229853910118e-09, 3.481485925157633
 160000,0, 9843, 157, 0, 0, 1.0877360178103759e-15, 3.46855816477025
 170000,0, 9857, 143, 0, 0, 2.2716399390069036e-22, 3.4274830156474634
 180000,0, 9833, 167, 0, 0, 4.409974948558744e-29, 3.417502559591971
 190000,0, 9827, 173, 0, 0, 8.955416295708098e-36, 3.487744201630505
 200000,0, 9847, 153, 0, 0, 2.1279125898378152e-42, 3.494524544308481
 210000,0, 9834, 166, 0, 0, 4.533775443174779e-49, 3.4556807280185873
 220000,0, 9849, 151, 0, 0, 9.170048133919133e-56, 3.4504214734429213
 230000,0, 9815, 185, 0, 0, 1.8846704149505603e-62, 3.4120626842412007
 240000,0, 9825, 175, 0, 0, 3.928098557577513e-69, 3.4415051163733583
 250000,0, 9825, 175, 0, 0, 3.090552515316939e-11, 3.452344687910427
 260000,0, 9816, 184, 0, 0, 5.127603152123471e-18, 3.4064046569212243
 270000,0, 9816, 184, 0, 0, 8.132791795565205e-25, 3.314967825246932
 280000,0, 9824, 176, 0, 0, 1.1135037189462572e-31, 3.4091690167037125
 290000,0, 9808, 192, 0, 0, 1.5741570771916014e-38, 3.399857020802765
 300000,0, 9804, 196, 0, 0, 2.0398673949213382e-45, 3.2139837601331154
 310000,0, 9792, 208, 0, 0, 2.562630208478731e-52, 3.0958096740704377
 320000,0, 9817, 183, 0, 0, 2.9395272079611885e-06, 2.8633567953700103
 330000,0, 9773, 227, 0, 0, 3.127753616289244e-13, 3.246051764189811
 340000,0, 9773, 227, 0, 0, 2.300661584314506e-20, 2.627110813022344
 350000,0, 9750, 250, 0, 0, 8.468194006865509e-28, 2.938170146431065
 360000,0, 9736, 264, 0, 0, 4.682973979077272e-06, 2.304868574509564
 370000,0, 9712, 288, 0, 0, 1.4939106360540647e-13, 2.3782181720093467
 380000,0, 9844, 156, 0, 0, 4.366727632926193e-12, 0.9768717397020819
 390000,0, 9314, 686, 0, 0, 2.644985712212579e-21, 1.2928878459153899
 400000,0, 8259, 1741, 0, 0, 4.9937482428537274e-33, 0.8892144706761762
 410000,0, 6630, 3370, 0, 0, 5.415676804041707e-47, 0.3027678229985129
 420000,0, 4322, 5678, 0, 0, 1.2436694556419471e-62, 0.15251554322780458
 430000,0, 2850, 7150, 0, 0, 5.197370135994893e-79, 0.08753714674755045
 440000,0, 2097, 7903, 0, 0, 0.7485809442310822, 0.1722395575549291
 450000,0, 1263, 8737, 0, 0, 0.8794534231603827, 0.09914229973930888
 460000,0, 842, 9158, 0, 0, 0.8755572568904533, 0.09517345618899441
 470000,1, 4915, 5085, 0, 0, 0.29721299098064097, 0.14457758779374053
 480000,1, 4215, 5785, 0, 0, 0.42501711804957926, 0.1350606557590223
 490000,1, 3293, 6707, 0, 0, 0.5594970725023816, 0.09211439738200759
 500000,1, 2299, 7701, 0, 0, 0.6333668385138261, 0.07425005673241118
 510000,1, 1783, 8217, 0, 0, 0.7398831840705593, 0.09660465982444562
 520000,1, 1503, 8497, 0, 0, 0.7604907319202259, 0.10816559795473851
 530000,1, 1517, 8483, 0, 0, 0.7575212539376208, 0.10768415794034833
 540000,1, 1390, 8610, 0, 0, 0.8195958305224245, 0.10994931283995081
 550000,1, 1163, 8837, 0, 0, 0.831890281774868, 0.11532785763370122
 560000,1, 944, 9056, 0, 0, 0.8078948186022278, 0.11096850683719406
 570000,2, 5176, 4824, 0, 0, 4.496472137534376e-06, 0.12155657638443665
 580000,2, 2426, 7574, 0, 0, 7.139958432726734e-05, 0.10266012028954549
 590000,2, 2067, 7933, 0, 0, 9.879670976678215e-05, 0.11522264149876334
 600000,2, 2061, 7939, 0, 0, 3.1381449302731027e-06, 0.10765220253577876
 610000,2, 2147, 7853, 0, 0, 3.551442013772799e-06, 0.10450061655515805
 620000,2, 1965, 8035, 0, 0, 1.2982956611503266e-14, 0.11545906841234861
 630000,2, 1903, 8097, 0, 0, 1.0666016169327187e-18, 0.08810738370969866
 640000,2, 1921, 8079, 0, 0, 9.281266225427854e-22, 0.1143720198207012
 650000,2, 1892, 8108, 0, 0, 3.6344992272768203e-19, 0.10624273652645402
 660000,2, 1843, 8157, 0, 0, 2.1368026733078913e-06, 0.09522466531127868
 670000,2, 1755, 8245, 0, 0, 1.9654558390155007e-27, 0.13601117227441376
 680000,2, 1776, 8224, 0, 0, 3.4707810704785694e-39, 0.12139061848157315
 690000,2, 1647, 8353, 0, 0, 1.0169597560389176e-106, 0.10459069840860138
 700000,2, 1718, 8282, 0, 0, 5.480219885397306e-174, 0.10673773639606986
 710000,2, 1678, 8322, 0, 0, 1.8545742544858584e-241, 0.1165392675459449
 720000,2, 1647, 8353, 0, 0, 4.07362814418925e-309, 0.1618960806472471
 730000,2, 1530, 8470, 0, 0, 4.2632409472676444e-19, 0.15969066877866453
 740000,2, 1425, 8575, 0, 0, 2.865434611456919e-35, 0.16904178372946466
