learning start at Fri Jun 22 16:09:52 2018
('episode:', 10000, '/ miss:', 9818, '/ agari:', 182, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.8238908286200464e-08), ('average_entropy', 3.521710629489018)])
('episode:', 20000, '/ miss:', 9860, '/ agari:', 140, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.329446056362308e-15), ('average_entropy', 3.4663705807859184)])
('episode:', 30000, '/ miss:', 9832, '/ agari:', 168, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.27994976373312e-22), ('average_entropy', 3.5048766924736743)])
('episode:', 40000, '/ miss:', 9836, '/ agari:', 164, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.8958429260768097e-28), ('average_entropy', 3.501340698374865)])
('episode:', 50000, '/ miss:', 9836, '/ agari:', 164, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.8886345164002744e-35), ('average_entropy', 3.5126348005909707)])
('episode:', 60000, '/ miss:', 9834, '/ agari:', 166, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 8.850771435540334e-42), ('average_entropy', 3.5191897359399182)])
('episode:', 70000, '/ miss:', 9853, '/ agari:', 147, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.9944355498082894e-48), ('average_entropy', 3.5161924225045422)])
('episode:', 80000, '/ miss:', 9834, '/ agari:', 166, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.5339768330644136e-55), ('average_entropy', 3.5085334448363086)])
('episode:', 90000, '/ miss:', 9830, '/ agari:', 170, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2940562463971924e-61), ('average_entropy', 3.2949514833608986)])
('episode:', 100000, '/ miss:', 9836, '/ agari:', 164, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.8072467460101093e-68), ('average_entropy', 3.4502410631394422)])
('episode:', 110000, '/ miss:', 9839, '/ agari:', 161, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 7.197331182151607e-75), ('average_entropy', 3.487941572574809)])
('episode:', 120000, '/ miss:', 9862, '/ agari:', 138, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.009490087856949e-05), ('average_entropy', 3.493020610392235)])
('episode:', 130000, '/ miss:', 9838, '/ agari:', 162, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.7178022385231384e-12), ('average_entropy', 3.49832060976787)])
('episode:', 140000, '/ miss:', 9832, '/ agari:', 168, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.466190659896422e-19), ('average_entropy', 3.495176873024951)])
('episode:', 150000, '/ miss:', 9815, '/ agari:', 185, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.203229853910118e-09), ('average_entropy', 3.481485925157633)])
('episode:', 160000, '/ miss:', 9843, '/ agari:', 157, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0877360178103759e-15), ('average_entropy', 3.46855816477025)])
('episode:', 170000, '/ miss:', 9857, '/ agari:', 143, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.2716399390069036e-22), ('average_entropy', 3.4274830156474634)])
('episode:', 180000, '/ miss:', 9833, '/ agari:', 167, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.409974948558744e-29), ('average_entropy', 3.417502559591971)])
('episode:', 190000, '/ miss:', 9827, '/ agari:', 173, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 8.955416295708098e-36), ('average_entropy', 3.487744201630505)])
('episode:', 200000, '/ miss:', 9847, '/ agari:', 153, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.1279125898378152e-42), ('average_entropy', 3.494524544308481)])
('episode:', 210000, '/ miss:', 9834, '/ agari:', 166, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.533775443174779e-49), ('average_entropy', 3.4556807280185873)])
('episode:', 220000, '/ miss:', 9849, '/ agari:', 151, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.170048133919133e-56), ('average_entropy', 3.4504214734429213)])
('episode:', 230000, '/ miss:', 9815, '/ agari:', 185, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.8846704149505603e-62), ('average_entropy', 3.4120626842412007)])
('episode:', 240000, '/ miss:', 9825, '/ agari:', 175, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.928098557577513e-69), ('average_entropy', 3.4415051163733583)])
('episode:', 250000, '/ miss:', 9825, '/ agari:', 175, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.090552515316939e-11), ('average_entropy', 3.452344687910427)])
('episode:', 260000, '/ miss:', 9816, '/ agari:', 184, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.127603152123471e-18), ('average_entropy', 3.4064046569212243)])
('episode:', 270000, '/ miss:', 9816, '/ agari:', 184, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 8.132791795565205e-25), ('average_entropy', 3.314967825246932)])
('episode:', 280000, '/ miss:', 9824, '/ agari:', 176, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.1135037189462572e-31), ('average_entropy', 3.4091690167037125)])
('episode:', 290000, '/ miss:', 9808, '/ agari:', 192, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.5741570771916014e-38), ('average_entropy', 3.399857020802765)])
('episode:', 300000, '/ miss:', 9804, '/ agari:', 196, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.0398673949213382e-45), ('average_entropy', 3.2139837601331154)])
('episode:', 310000, '/ miss:', 9792, '/ agari:', 208, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.562630208478731e-52), ('average_entropy', 3.0958096740704377)])
('episode:', 320000, '/ miss:', 9817, '/ agari:', 183, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.9395272079611885e-06), ('average_entropy', 2.8633567953700103)])
('episode:', 330000, '/ miss:', 9773, '/ agari:', 227, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.127753616289244e-13), ('average_entropy', 3.246051764189811)])
('episode:', 340000, '/ miss:', 9773, '/ agari:', 227, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.300661584314506e-20), ('average_entropy', 2.627110813022344)])
('episode:', 350000, '/ miss:', 9750, '/ agari:', 250, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 8.468194006865509e-28), ('average_entropy', 2.938170146431065)])
('episode:', 360000, '/ miss:', 9736, '/ agari:', 264, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.682973979077272e-06), ('average_entropy', 2.304868574509564)])
('episode:', 370000, '/ miss:', 9712, '/ agari:', 288, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.4939106360540647e-13), ('average_entropy', 2.3782181720093467)])
('episode:', 380000, '/ miss:', 9844, '/ agari:', 156, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.366727632926193e-12), ('average_entropy', 0.9768717397020819)])
('episode:', 390000, '/ miss:', 9314, '/ agari:', 686, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.644985712212579e-21), ('average_entropy', 1.2928878459153899)])
('episode:', 400000, '/ miss:', 8259, '/ agari:', 1741, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.9937482428537274e-33), ('average_entropy', 0.8892144706761762)])
('episode:', 410000, '/ miss:', 6630, '/ agari:', 3370, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.415676804041707e-47), ('average_entropy', 0.3027678229985129)])
('episode:', 420000, '/ miss:', 4322, '/ agari:', 5678, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2436694556419471e-62), ('average_entropy', 0.15251554322780458)])
('episode:', 430000, '/ miss:', 2850, '/ agari:', 7150, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.197370135994893e-79), ('average_entropy', 0.08753714674755045)])
('episode:', 440000, '/ miss:', 2097, '/ agari:', 7903, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.7485809442310822), ('average_entropy', 0.1722395575549291)])
('episode:', 450000, '/ miss:', 1263, '/ agari:', 8737, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.8794534231603827), ('average_entropy', 0.09914229973930888)])
('episode:', 460000, '/ miss:', 842, '/ agari:', 9158, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.8755572568904533), ('average_entropy', 0.09517345618899441)])
('episode:', 470000, '/ miss:', 4915, '/ agari:', 5085, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.29721299098064097), ('average_entropy', 0.14457758779374053)])
('episode:', 480000, '/ miss:', 4215, '/ agari:', 5785, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.42501711804957926), ('average_entropy', 0.1350606557590223)])
('episode:', 490000, '/ miss:', 3293, '/ agari:', 6707, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.5594970725023816), ('average_entropy', 0.09211439738200759)])
('episode:', 500000, '/ miss:', 2299, '/ agari:', 7701, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.6333668385138261), ('average_entropy', 0.07425005673241118)])
('episode:', 510000, '/ miss:', 1783, '/ agari:', 8217, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.7398831840705593), ('average_entropy', 0.09660465982444562)])
('episode:', 520000, '/ miss:', 1503, '/ agari:', 8497, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.7604907319202259), ('average_entropy', 0.10816559795473851)])
('episode:', 530000, '/ miss:', 1517, '/ agari:', 8483, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.7575212539376208), ('average_entropy', 0.10768415794034833)])
('episode:', 540000, '/ miss:', 1390, '/ agari:', 8610, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.8195958305224245), ('average_entropy', 0.10994931283995081)])
('episode:', 550000, '/ miss:', 1163, '/ agari:', 8837, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.831890281774868), ('average_entropy', 0.11532785763370122)])
('episode:', 560000, '/ miss:', 944, '/ agari:', 9056, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 0.8078948186022278), ('average_entropy', 0.11096850683719406)])
('episode:', 570000, '/ miss:', 5176, '/ agari:', 4824, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.496472137534376e-06), ('average_entropy', 0.12155657638443665)])
('episode:', 580000, '/ miss:', 2426, '/ agari:', 7574, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 7.139958432726734e-05), ('average_entropy', 0.10266012028954549)])
('episode:', 590000, '/ miss:', 2067, '/ agari:', 7933, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.879670976678215e-05), ('average_entropy', 0.11522264149876334)])
('episode:', 600000, '/ miss:', 2061, '/ agari:', 7939, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.1381449302731027e-06), ('average_entropy', 0.10765220253577876)])
('episode:', 610000, '/ miss:', 2147, '/ agari:', 7853, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.551442013772799e-06), ('average_entropy', 0.10450061655515805)])
('episode:', 620000, '/ miss:', 1965, '/ agari:', 8035, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2982956611503266e-14), ('average_entropy', 0.11545906841234861)])
('episode:', 630000, '/ miss:', 1903, '/ agari:', 8097, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0666016169327187e-18), ('average_entropy', 0.08810738370969866)])
('episode:', 640000, '/ miss:', 1921, '/ agari:', 8079, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.281266225427854e-22), ('average_entropy', 0.1143720198207012)])
('episode:', 650000, '/ miss:', 1892, '/ agari:', 8108, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.6344992272768203e-19), ('average_entropy', 0.10624273652645402)])
('episode:', 660000, '/ miss:', 1843, '/ agari:', 8157, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.1368026733078913e-06), ('average_entropy', 0.09522466531127868)])
('episode:', 670000, '/ miss:', 1755, '/ agari:', 8245, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.9654558390155007e-27), ('average_entropy', 0.13601117227441376)])
('episode:', 680000, '/ miss:', 1776, '/ agari:', 8224, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.4707810704785694e-39), ('average_entropy', 0.12139061848157315)])
('episode:', 690000, '/ miss:', 1647, '/ agari:', 8353, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0169597560389176e-106), ('average_entropy', 0.10459069840860138)])
