learning start at Wed Jun 20 00:08:58 2018
('episode:', 10000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2885977526703443e-09), ('average_entropy', 3.524240727113662)])
('episode:', 20000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 6.022973011417533e-11), ('average_entropy', 3.519435742585008)])
('episode:', 30000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.06536383210226e-17), ('average_entropy', 3.5209022412933098)])
('episode:', 40000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.98508721782352e-24), ('average_entropy', 3.502704814975015)])
('episode:', 50000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0208327341764265e-10), ('average_entropy', 3.5115066200897394)])
('episode:', 60000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.0056971426014882e-17), ('average_entropy', 3.5157907336515257)])
('episode:', 70000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.83953665205976e-24), ('average_entropy', 3.5133496407428932)])
('episode:', 80000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 6.956553541391836e-31), ('average_entropy', 3.510613535182326)])
('episode:', 90000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2280389460890597e-37), ('average_entropy', 3.512168041780226)])
('episode:', 100000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.2973746857780236e-44), ('average_entropy', 3.5076399393766664)])
('episode:', 110000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.200081828633821e-51), ('average_entropy', 3.504546153679939)])
('episode:', 120000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.59328384889949e-09), ('average_entropy', 3.4956766217971587)])
('episode:', 130000, '/ miss:', 10000, '/ agari:', 0, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.6384998817186387e-15), ('average_entropy', 3.504941648838223)])
