episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 10000,0, 10000, 0, 0, 0, 1.2885977526703443e-09, 3.524240727113662
 20000,0, 10000, 0, 0, 0, 6.022973011417533e-11, 3.519435742585008
 30000,0, 10000, 0, 0, 0, 1.06536383210226e-17, 3.5209022412933098
 40000,0, 10000, 0, 0, 0, 1.98508721782352e-24, 3.502704814975015
 50000,0, 10000, 0, 0, 0, 1.0208327341764265e-10, 3.5115066200897394
 60000,0, 10000, 0, 0, 0, 2.0056971426014882e-17, 3.5157907336515257
 70000,0, 10000, 0, 0, 0, 3.83953665205976e-24, 3.5133496407428932
 80000,0, 10000, 0, 0, 0, 6.956553541391836e-31, 3.510613535182326
 90000,0, 10000, 0, 0, 0, 1.2280389460890597e-37, 3.512168041780226
 100000,0, 10000, 0, 0, 0, 2.2973746857780236e-44, 3.5076399393766664
 110000,0, 10000, 0, 0, 0, 4.200081828633821e-51, 3.504546153679939
 120000,0, 10000, 0, 0, 0, 9.59328384889949e-09, 3.4956766217971587
 130000,0, 10000, 0, 0, 0, 1.6384998817186387e-15, 3.504941648838223
 140000,0, 10000, 0, 0, 0, 1.1978681545380904e-11, 3.49324073631826
 150000,0, 10000, 0, 0, 0, 2.179025841877756e-18, 3.4911511444498604
 160000,0, 10000, 0, 0, 0, 2.191002829716367e-07, 3.479043239546636
 170000,0, 10000, 0, 0, 0, 3.9144890988015967e-14, 3.468179796812979
 180000,0, 10000, 0, 0, 0, 6.5076230647442904e-21, 3.469059725605833
 190000,0, 10000, 0, 0, 0, 1.0905505113062732e-27, 3.475538126229058
 200000,0, 10000, 0, 0, 0, 1.8271693388155538e-09, 3.4682692754242144
 210000,0, 10000, 0, 0, 0, 6.124177965071422e-08, 3.4637212023902872
 220000,0, 10000, 0, 0, 0, 1.0952530312983655e-14, 3.4565134709300165
 230000,0, 10000, 0, 0, 0, 2.1177419691149465e-21, 3.4564964646819556
 240000,0, 10000, 0, 0, 0, 9.550144887389619e-10, 3.458767357433387
 250000,0, 10000, 0, 0, 0, 3.521298312119461e-07, 3.453818339659463
 260000,0, 10000, 0, 0, 0, 1.1029277583194326e-06, 3.4561441879047523
 270000,0, 10000, 0, 0, 0, 1.0214613366677692e-12, 3.4554494917845555
 280000,0, 10000, 0, 0, 0, 1.739392195700481e-19, 3.4592172038367086
 290000,0, 10000, 0, 0, 0, 3.3098164371886895e-26, 3.4562222884597964
 300000,0, 10000, 0, 0, 0, 5.453064118115914e-33, 3.463892710251188
 310000,0, 10000, 0, 0, 0, 1.014035652644267e-39, 3.460969779722488
 320000,0, 10000, 0, 0, 0, 1.4742663358698437e-46, 3.453321669789852
 330000,0, 10000, 0, 0, 0, 3.510047368837044e-53, 3.4516526379191923
 340000,0, 10000, 0, 0, 0, 6.196279301096201e-60, 3.4468520351670024
 350000,0, 10000, 0, 0, 0, 1.060422975744904e-66, 3.44634085898099
 360000,0, 10000, 0, 0, 0, 1.642011122824416e-73, 3.4311612510011122
 370000,0, 10000, 0, 0, 0, 2.892844432234935e-80, 3.4179914516302676
 380000,0, 10000, 0, 0, 0, 5.537816248701751e-87, 3.4246328710583875
 390000,0, 10000, 0, 0, 0, 9.611028150722946e-94, 3.4247837185594494
 400000,0, 10000, 0, 0, 0, 1.8088252467271795e-100, 3.408540554100751
 410000,0, 10000, 0, 0, 0, 2.956359285905863e-107, 3.3764366391584053
 420000,0, 10000, 0, 0, 0, 4.660960156267054e-114, 3.3772493215531996
 430000,0, 10000, 0, 0, 0, 9.121118779865132e-121, 3.3873478467714113
 440000,0, 10000, 0, 0, 0, 1.910590583423451e-127, 3.3674924529685657
 450000,0, 10000, 0, 0, 0, 3.4790086307814064e-134, 3.2997464058916015
 460000,0, 10000, 0, 0, 0, 5.312137491470535e-141, 3.35364002917552
 470000,0, 10000, 0, 0, 0, 1.0118361936523187e-147, 3.3458951289213337
 480000,0, 10000, 0, 0, 0, 1.7861923227848228e-154, 3.345373628310353
 490000,0, 10000, 0, 0, 0, 3.71540496869153e-161, 3.350684177522292
 500000,0, 10000, 0, 0, 0, 6.506509550230829e-168, 3.366091211091975
 510000,0, 10000, 0, 0, 0, 1.2257710077880696e-174, 3.347446388691797
