learning start at Tue Apr 10 11:38:13 2018
('episode:', 10000, '/ miss:', 9859, ' / win:', 141, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.274509163624335e-06), (u'average_entropy', 3.52354936710688)])
('episode:', 20000, '/ miss:', 9824, ' / win:', 176, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.0122711599690664e-08), (u'average_entropy', 3.5124964962083403)])
('episode:', 30000, '/ miss:', 9844, ' / win:', 156, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.4785644830174464e-15), (u'average_entropy', 3.511653481499821)])
('episode:', 40000, '/ miss:', 9811, ' / win:', 189, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.186629572396871e-22), (u'average_entropy', 3.516019166654479)])
('episode:', 50000, '/ miss:', 9852, ' / win:', 148, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.1664203539380597e-28), (u'average_entropy', 3.5167462314145856)])
('episode:', 60000, '/ miss:', 9834, ' / win:', 166, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.291742704404164e-35), (u'average_entropy', 3.515804393291413)])
('episode:', 70000, '/ miss:', 9840, ' / win:', 160, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.996499519872119e-42), (u'average_entropy', 3.5058922271588555)])
('episode:', 80000, '/ miss:', 9848, ' / win:', 152, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.1463729848324415e-48), (u'average_entropy', 3.5009727108991986)])
('episode:', 90000, '/ miss:', 9838, ' / win:', 162, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.72391748917801e-55), (u'average_entropy', 3.4899933264807457)])
('episode:', 100000, '/ miss:', 9828, ' / win:', 172, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.609533804542339e-62), (u'average_entropy', 3.421324794131581)])
('episode:', 110000, '/ miss:', 9816, ' / win:', 184, ' / draw:', 0, ' / statistics:', [(u'average_value', 9.716034629945264e-69), (u'average_entropy', 3.48392326856618)])
('episode:', 120000, '/ miss:', 9792, ' / win:', 208, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.4396850730282053e-75), (u'average_entropy', 3.4613835826551695)])
('episode:', 130000, '/ miss:', 9756, ' / win:', 244, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.918431644023128e-06), (u'average_entropy', 2.9713460637140234)])
('episode:', 140000, '/ miss:', 9593, ' / win:', 407, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.068897901421849e-06), (u'average_entropy', 2.2253651500981206)])
('episode:', 150000, '/ miss:', 8532, ' / win:', 1468, ' / draw:', 0, ' / statistics:', [(u'average_value', 8.409853105498549e-07), (u'average_entropy', 1.4075851236459727)])
('episode:', 160000, '/ miss:', 7541, ' / win:', 2459, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.057516850580865e-13), (u'average_entropy', 1.2051160629136777)])
